Bencana Menurut Wilayah ACEH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Bencana Menurut Wilayah Nusa Tenggara Barat,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
Bencana Menurut Wilayah Sumatera Selatan,,,,,,,,,,,,,Bencana Menurut Wilayah Kalimantan Timur,,,,,,,,,,
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
1,2016,7,61,26,23.305,118,182,46,270,1.185,,,1,2016,6,189,3,8.142,1.166,42,7,38,11.303
2,2017,6,61,0,74.077,2.206,10,15,46,462,,,2,2017,1,39,7,6.84,947,412,632,740,373
3,2018,1,77,0,6,6,4,2,8,0,,,3,2018,0,32,1,3.955,13,16,10,97,78
4,2019,3,95,4,4.002,212,8,8,45,822,,,4,2019,2,54,4,510,11,30,52,52,158
5,2020,0,90,0,297,8,19,49,20,75,,,5,2020,0,116,1,1.976,5,36,73,81,464
JUMLAH,,17,384,30,404.384,346.206,223,120,389,1360.185,,,JUMLAH,,9,430,16,530.913,977.166,536,774,1008,1084.3029999999999
,,,,,,,,,,,,,,,,,,,,,,,
Bencana Menurut Wilayah Bengkulu,,,,,,,,,,,,,Bencana Menurut Wilayah Kalimantan Utara,,,,,,,,,,
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
1,2016,6,18,8,1.282,0,110,116,388,351,,,1,2016,0,15,0,0,0,1,0,0,0
2,2017,0,11,0,112.55,20,149,318,664,0,,,2,2017,0,2,0,4.006,0,4,0,0,0
3,2018,0,11,1,7,11,7,23,193,0,,,3,2018,0,1,0,0,0,0,0,0,7
4,2019,2,25,4,24.116,307,110,95,576,4.883,,,4,2019,0,21,1,42,0,0,9,21,772
5,2020,0,37,3,3.809,144,29,42,506,693,,,5,2020,11,76,6,807,31,13,35,47,178
JUMLAH,,8,102,16,148.75699999999998,482,405,594,2327,1048.883,,,JUMLAH,,11,115,7,853.006,31,18,44,68,957
,,,,,,,,,,,,,,,,,,,,,,,
Bencana Menurut Wilayah Lampung,,,,,,,,,,,,,Bencana Menurut Wilayah Sulawesi Utara,,,,,,,,,,
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
1,2016,0,18,5,11.535,0,17,86,920,1.096,,,1,2016,13,16,0,9.435,2.203,59,50,79,1.725
2,2017,1,9,0,10.373,7.599,542,108,635,0,,,2,2017,0,38,0,1.442,0,1,3,0,251
3,2018,0,32,2,107,90,3,8,58,10,,,3,2018,0,24,0,1.65,0,2,14,34,123
4,2019,0,50,0,379,3,4,18,49,94,,,4,2019,2,19,0,13.288,0,3,5,14,2.566
5,2020,0,43,0,287,0,4,13,20,6,,,5,2020,0,20,0,636,16,4,4,0,170
JUMLAH,,1,152,7,794.908,100.599,570,233,1682,111.096,,,JUMLAH,,15,117,0,661.815,18.203,69,76,127,548.2909999999999
,,,,,,,,,,,,,,,,,,,,,,,
Bencana Menurut Wilayah Kepulauan Bangka Belitung,,,,,,,,,,,,,Bencana Menurut Wilayah Sulawesi Tengah,,,,,,,,,,
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
1,2016,3,18,4,14.92,10.333,13,45,45,1.672,,,1,2016,1,12,1,530,825,26,0,4,247
2,2017,5,8,29,111.439,1.771,11,25,767,21.263,,,2,2017,0,21,0,1.315,0,1,0,0,0
3,2018,0,117,0,109.765,203,3,3,24,4.257,,,3,2018,0,9,0,8.265,0,0,0,0,0
4,2019,2,22,9,98.018,874,6,16,211,26.526,,,4,2019,0,23,0,6.208,0,1,1,0,473
5,2020,0,26,10,50.472,635,9,6,356,13.476,,,5,2020,2,54,3,50,13,5,7,34,9
JUMLAH,,10,191,52,384.614,1724.104,42,95,1403,67.194,,,JUMLAH,,3,119,4,595.788,838,33,8,38,729
,,,,,,,,,,,,,,,,,,,,,,,
Bencana Menurut Wilayah Kepulauan Riau,,,,,,,,,,,,,Bencana Menurut Wilayah Sulawesi Selatan,,,,,,,,,,
No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam,,,No.,Wilayah,Meninggal,Jumlah Kejadian,Terluka,Menderita,Mengungsi,Rusak Berat,Rusak Sedang,Rusak Ringan,Terendam
1,2016,0,16,0,447,23,29,38,95,60,,,1,2016,6,56,43,120.356,2.723,100,180,500,13.323
2,2017,0,5,0,0,0,0,0,0,0,,,2,2017,0,71,1,2.065,35,4,0,19,380
